"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"1999"	"1999"	"Iowa"	"19"	137
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2000"	"2000"	"Iowa"	"19"	113
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2001"	"2001"	"Iowa"	"19"	100
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2002"	"2002"	"Iowa"	"19"	122
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2003"	"2003"	"Iowa"	"19"	120
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2004"	"2004"	"Iowa"	"19"	142
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2005"	"2005"	"Iowa"	"19"	156
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2006"	"2006"	"Iowa"	"19"	153
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2007"	"2007"	"Iowa"	"19"	147
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2008"	"2008"	"Iowa"	"19"	199
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2009"	"2009"	"Iowa"	"19"	195
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2010"	"2010"	"Iowa"	"19"	198
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2011"	"2011"	"Iowa"	"19"	239
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2012"	"2012"	"Iowa"	"19"	245
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2013"	"2013"	"Iowa"	"19"	249
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2014"	"2014"	"Iowa"	"19"	258
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2015"	"2015"	"Iowa"	"19"	263
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2016"	"2016"	"Iowa"	"19"	299
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2017"	"2017"	"Iowa"	"19"	303
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2018"	"2018"	"Iowa"	"19"	295
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2019"	"2019"	"Iowa"	"19"	314
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2020"	"2020"	"Iowa"	"19"	304
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2021"	"2021"	"Iowa"	"19"	328
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2022"	"2022"	"Iowa"	"19"	328
	"Liver"	"21071"	"1999"	"1999"	"Iowa"	"19"	116
	"Liver"	"21071"	"2000"	"2000"	"Iowa"	"19"	89
	"Liver"	"21071"	"2001"	"2001"	"Iowa"	"19"	80
	"Liver"	"21071"	"2002"	"2002"	"Iowa"	"19"	111
	"Liver"	"21071"	"2003"	"2003"	"Iowa"	"19"	109
	"Liver"	"21071"	"2004"	"2004"	"Iowa"	"19"	119
	"Liver"	"21071"	"2005"	"2005"	"Iowa"	"19"	133
	"Liver"	"21071"	"2006"	"2006"	"Iowa"	"19"	133
	"Liver"	"21071"	"2007"	"2007"	"Iowa"	"19"	126
	"Liver"	"21071"	"2008"	"2008"	"Iowa"	"19"	171
	"Liver"	"21071"	"2009"	"2009"	"Iowa"	"19"	160
	"Liver"	"21071"	"2010"	"2010"	"Iowa"	"19"	163
	"Liver"	"21071"	"2011"	"2011"	"Iowa"	"19"	209
	"Liver"	"21071"	"2012"	"2012"	"Iowa"	"19"	214
	"Liver"	"21071"	"2013"	"2013"	"Iowa"	"19"	208
	"Liver"	"21071"	"2014"	"2014"	"Iowa"	"19"	205
	"Liver"	"21071"	"2015"	"2015"	"Iowa"	"19"	211
	"Liver"	"21071"	"2016"	"2016"	"Iowa"	"19"	220
	"Liver"	"21071"	"2017"	"2017"	"Iowa"	"19"	233
	"Liver"	"21071"	"2018"	"2018"	"Iowa"	"19"	232
	"Liver"	"21071"	"2019"	"2019"	"Iowa"	"19"	240
	"Liver"	"21071"	"2020"	"2020"	"Iowa"	"19"	229
	"Liver"	"21071"	"2021"	"2021"	"Iowa"	"19"	250
	"Liver"	"21071"	"2022"	"2022"	"Iowa"	"19"	250
	"Intrahepatic Bile Duct"	"21072"	"1999"	"1999"	"Iowa"	"19"	21
	"Intrahepatic Bile Duct"	"21072"	"2000"	"2000"	"Iowa"	"19"	24
	"Intrahepatic Bile Duct"	"21072"	"2001"	"2001"	"Iowa"	"19"	20
	"Intrahepatic Bile Duct"	"21072"	"2004"	"2004"	"Iowa"	"19"	23
	"Intrahepatic Bile Duct"	"21072"	"2005"	"2005"	"Iowa"	"19"	23
	"Intrahepatic Bile Duct"	"21072"	"2006"	"2006"	"Iowa"	"19"	20
	"Intrahepatic Bile Duct"	"21072"	"2007"	"2007"	"Iowa"	"19"	21
	"Intrahepatic Bile Duct"	"21072"	"2008"	"2008"	"Iowa"	"19"	28
	"Intrahepatic Bile Duct"	"21072"	"2009"	"2009"	"Iowa"	"19"	35
	"Intrahepatic Bile Duct"	"21072"	"2010"	"2010"	"Iowa"	"19"	35
	"Intrahepatic Bile Duct"	"21072"	"2011"	"2011"	"Iowa"	"19"	30
	"Intrahepatic Bile Duct"	"21072"	"2012"	"2012"	"Iowa"	"19"	31
	"Intrahepatic Bile Duct"	"21072"	"2013"	"2013"	"Iowa"	"19"	41
	"Intrahepatic Bile Duct"	"21072"	"2014"	"2014"	"Iowa"	"19"	53
	"Intrahepatic Bile Duct"	"21072"	"2015"	"2015"	"Iowa"	"19"	52
	"Intrahepatic Bile Duct"	"21072"	"2016"	"2016"	"Iowa"	"19"	79
	"Intrahepatic Bile Duct"	"21072"	"2017"	"2017"	"Iowa"	"19"	70
	"Intrahepatic Bile Duct"	"21072"	"2018"	"2018"	"Iowa"	"19"	63
	"Intrahepatic Bile Duct"	"21072"	"2019"	"2019"	"Iowa"	"19"	74
	"Intrahepatic Bile Duct"	"21072"	"2020"	"2020"	"Iowa"	"19"	75
	"Intrahepatic Bile Duct"	"21072"	"2021"	"2021"	"Iowa"	"19"	78
	"Intrahepatic Bile Duct"	"21072"	"2022"	"2022"	"Iowa"	"19"	78
	"Gallbladder"	"21080"	"1999"	"1999"	"Iowa"	"19"	41
	"Gallbladder"	"21080"	"2000"	"2000"	"Iowa"	"19"	43
	"Gallbladder"	"21080"	"2001"	"2001"	"Iowa"	"19"	51
	"Gallbladder"	"21080"	"2002"	"2002"	"Iowa"	"19"	49
	"Gallbladder"	"21080"	"2003"	"2003"	"Iowa"	"19"	48
	"Gallbladder"	"21080"	"2004"	"2004"	"Iowa"	"19"	38
	"Gallbladder"	"21080"	"2005"	"2005"	"Iowa"	"19"	43
	"Gallbladder"	"21080"	"2006"	"2006"	"Iowa"	"19"	38
	"Gallbladder"	"21080"	"2007"	"2007"	"Iowa"	"19"	34
	"Gallbladder"	"21080"	"2008"	"2008"	"Iowa"	"19"	29
	"Gallbladder"	"21080"	"2009"	"2009"	"Iowa"	"19"	39
	"Gallbladder"	"21080"	"2010"	"2010"	"Iowa"	"19"	50
	"Gallbladder"	"21080"	"2011"	"2011"	"Iowa"	"19"	43
	"Gallbladder"	"21080"	"2012"	"2012"	"Iowa"	"19"	40
	"Gallbladder"	"21080"	"2013"	"2013"	"Iowa"	"19"	38
	"Gallbladder"	"21080"	"2014"	"2014"	"Iowa"	"19"	40
	"Gallbladder"	"21080"	"2015"	"2015"	"Iowa"	"19"	49
	"Gallbladder"	"21080"	"2016"	"2016"	"Iowa"	"19"	37
	"Gallbladder"	"21080"	"2017"	"2017"	"Iowa"	"19"	39
	"Gallbladder"	"21080"	"2018"	"2018"	"Iowa"	"19"	30
	"Gallbladder"	"21080"	"2019"	"2019"	"Iowa"	"19"	49
	"Gallbladder"	"21080"	"2020"	"2020"	"Iowa"	"19"	42
	"Gallbladder"	"21080"	"2021"	"2021"	"Iowa"	"19"	45
	"Gallbladder"	"21080"	"2022"	"2022"	"Iowa"	"19"	35
	"Other Biliary"	"21090"	"1999"	"1999"	"Iowa"	"19"	50
	"Other Biliary"	"21090"	"2000"	"2000"	"Iowa"	"19"	41
	"Other Biliary"	"21090"	"2001"	"2001"	"Iowa"	"19"	64
	"Other Biliary"	"21090"	"2002"	"2002"	"Iowa"	"19"	67
	"Other Biliary"	"21090"	"2003"	"2003"	"Iowa"	"19"	57
	"Other Biliary"	"21090"	"2004"	"2004"	"Iowa"	"19"	66
	"Other Biliary"	"21090"	"2005"	"2005"	"Iowa"	"19"	50
	"Other Biliary"	"21090"	"2006"	"2006"	"Iowa"	"19"	48
	"Other Biliary"	"21090"	"2007"	"2007"	"Iowa"	"19"	54
	"Other Biliary"	"21090"	"2008"	"2008"	"Iowa"	"19"	61
	"Other Biliary"	"21090"	"2009"	"2009"	"Iowa"	"19"	67
	"Other Biliary"	"21090"	"2010"	"2010"	"Iowa"	"19"	54
	"Other Biliary"	"21090"	"2011"	"2011"	"Iowa"	"19"	57
	"Other Biliary"	"21090"	"2012"	"2012"	"Iowa"	"19"	57
	"Other Biliary"	"21090"	"2013"	"2013"	"Iowa"	"19"	61
	"Other Biliary"	"21090"	"2014"	"2014"	"Iowa"	"19"	73
	"Other Biliary"	"21090"	"2015"	"2015"	"Iowa"	"19"	56
	"Other Biliary"	"21090"	"2016"	"2016"	"Iowa"	"19"	65
	"Other Biliary"	"21090"	"2017"	"2017"	"Iowa"	"19"	73
	"Other Biliary"	"21090"	"2018"	"2018"	"Iowa"	"19"	52
	"Other Biliary"	"21090"	"2019"	"2019"	"Iowa"	"19"	59
	"Other Biliary"	"21090"	"2020"	"2020"	"Iowa"	"19"	72
	"Other Biliary"	"21090"	"2021"	"2021"	"Iowa"	"19"	75
	"Other Biliary"	"21090"	"2022"	"2022"	"Iowa"	"19"	66
	"Pancreas"	"21100"	"1999"	"1999"	"Iowa"	"19"	327
	"Pancreas"	"21100"	"2000"	"2000"	"Iowa"	"19"	380
	"Pancreas"	"21100"	"2001"	"2001"	"Iowa"	"19"	389
	"Pancreas"	"21100"	"2002"	"2002"	"Iowa"	"19"	357
	"Pancreas"	"21100"	"2003"	"2003"	"Iowa"	"19"	400
	"Pancreas"	"21100"	"2004"	"2004"	"Iowa"	"19"	412
	"Pancreas"	"21100"	"2005"	"2005"	"Iowa"	"19"	368
	"Pancreas"	"21100"	"2006"	"2006"	"Iowa"	"19"	408
	"Pancreas"	"21100"	"2007"	"2007"	"Iowa"	"19"	399
	"Pancreas"	"21100"	"2008"	"2008"	"Iowa"	"19"	435
	"Pancreas"	"21100"	"2009"	"2009"	"Iowa"	"19"	473
	"Pancreas"	"21100"	"2010"	"2010"	"Iowa"	"19"	465
	"Pancreas"	"21100"	"2011"	"2011"	"Iowa"	"19"	448
	"Pancreas"	"21100"	"2012"	"2012"	"Iowa"	"19"	486
	"Pancreas"	"21100"	"2013"	"2013"	"Iowa"	"19"	506
	"Pancreas"	"21100"	"2014"	"2014"	"Iowa"	"19"	555
	"Pancreas"	"21100"	"2015"	"2015"	"Iowa"	"19"	519
	"Pancreas"	"21100"	"2016"	"2016"	"Iowa"	"19"	550
	"Pancreas"	"21100"	"2017"	"2017"	"Iowa"	"19"	562
	"Pancreas"	"21100"	"2018"	"2018"	"Iowa"	"19"	587
	"Pancreas"	"21100"	"2019"	"2019"	"Iowa"	"19"	575
	"Pancreas"	"21100"	"2020"	"2020"	"Iowa"	"19"	525
	"Pancreas"	"21100"	"2021"	"2021"	"Iowa"	"19"	637
	"Pancreas"	"21100"	"2022"	"2022"	"Iowa"	"19"	582
	"Retroperitoneum"	"21110"	"2000"	"2000"	"Iowa"	"19"	20
	"Retroperitoneum"	"21110"	"2001"	"2001"	"Iowa"	"19"	19
	"Retroperitoneum"	"21110"	"2002"	"2002"	"Iowa"	"19"	16
	"Retroperitoneum"	"21110"	"2003"	"2003"	"Iowa"	"19"	17
	"Retroperitoneum"	"21110"	"2014"	"2014"	"Iowa"	"19"	18
	"Retroperitoneum"	"21110"	"2015"	"2015"	"Iowa"	"19"	16
	"Retroperitoneum"	"21110"	"2016"	"2016"	"Iowa"	"19"	20
	"Retroperitoneum"	"21110"	"2018"	"2018"	"Iowa"	"19"	20
	"Retroperitoneum"	"21110"	"2019"	"2019"	"Iowa"	"19"	19
	"Retroperitoneum"	"21110"	"2020"	"2020"	"Iowa"	"19"	16
	"Retroperitoneum"	"21110"	"2021"	"2021"	"Iowa"	"19"	21
	"Retroperitoneum"	"21110"	"2022"	"2022"	"Iowa"	"19"	17
	"Peritoneum, Omentum and Mesentery"	"21120"	"1999"	"1999"	"Iowa"	"19"	25
	"Peritoneum, Omentum and Mesentery"	"21120"	"2000"	"2000"	"Iowa"	"19"	28
	"Peritoneum, Omentum and Mesentery"	"21120"	"2001"	"2001"	"Iowa"	"19"	25
	"Peritoneum, Omentum and Mesentery"	"21120"	"2002"	"2002"	"Iowa"	"19"	35
	"Peritoneum, Omentum and Mesentery"	"21120"	"2003"	"2003"	"Iowa"	"19"	34
	"Peritoneum, Omentum and Mesentery"	"21120"	"2004"	"2004"	"Iowa"	"19"	30
	"Peritoneum, Omentum and Mesentery"	"21120"	"2005"	"2005"	"Iowa"	"19"	23
	"Peritoneum, Omentum and Mesentery"	"21120"	"2006"	"2006"	"Iowa"	"19"	27
	"Peritoneum, Omentum and Mesentery"	"21120"	"2007"	"2007"	"Iowa"	"19"	28
	"Peritoneum, Omentum and Mesentery"	"21120"	"2008"	"2008"	"Iowa"	"19"	32
	"Peritoneum, Omentum and Mesentery"	"21120"	"2009"	"2009"	"Iowa"	"19"	36
	"Peritoneum, Omentum and Mesentery"	"21120"	"2010"	"2010"	"Iowa"	"19"	32
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"Iowa"	"19"	38
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"Iowa"	"19"	26
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"Iowa"	"19"	23
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"Iowa"	"19"	25
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"Iowa"	"19"	17
	"Peritoneum, Omentum and Mesentery"	"21120"	"2016"	"2016"	"Iowa"	"19"	34
	"Peritoneum, Omentum and Mesentery"	"21120"	"2017"	"2017"	"Iowa"	"19"	22
	"Peritoneum, Omentum and Mesentery"	"21120"	"2018"	"2018"	"Iowa"	"19"	20
	"Peritoneum, Omentum and Mesentery"	"21120"	"2019"	"2019"	"Iowa"	"19"	21
	"Peritoneum, Omentum and Mesentery"	"21120"	"2021"	"2021"	"Iowa"	"19"	16
	"Peritoneum, Omentum and Mesentery"	"21120"	"2022"	"2022"	"Iowa"	"19"	16
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"Iowa"	"19"	17
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"Iowa"	"19"	19
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"Iowa"	"19"	20
	"Other Digestive Organs"	"21130"	"2014"	"2014"	"Iowa"	"19"	30
	"Other Digestive Organs"	"21130"	"2015"	"2015"	"Iowa"	"19"	23
	"Other Digestive Organs"	"21130"	"2016"	"2016"	"Iowa"	"19"	25
	"Other Digestive Organs"	"21130"	"2017"	"2017"	"Iowa"	"19"	30
	"Other Digestive Organs"	"21130"	"2018"	"2018"	"Iowa"	"19"	22
	"Other Digestive Organs"	"21130"	"2019"	"2019"	"Iowa"	"19"	31
	"Other Digestive Organs"	"21130"	"2020"	"2020"	"Iowa"	"19"	33
	"Other Digestive Organs"	"21130"	"2021"	"2021"	"Iowa"	"19"	43
	"Other Digestive Organs"	"21130"	"2022"	"2022"	"Iowa"	"19"	38
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Iowa"	"19"	2367
	"Respiratory System"	"22010-22060"	"2000"	"2000"	"Iowa"	"19"	2403
	"Respiratory System"	"22010-22060"	"2001"	"2001"	"Iowa"	"19"	2343
	"Respiratory System"	"22010-22060"	"2002"	"2002"	"Iowa"	"19"	2394
	"Respiratory System"	"22010-22060"	"2003"	"2003"	"Iowa"	"19"	2521
	"Respiratory System"	"22010-22060"	"2004"	"2004"	"Iowa"	"19"	2446
	"Respiratory System"	"22010-22060"	"2005"	"2005"	"Iowa"	"19"	2595
	"Respiratory System"	"22010-22060"	"2006"	"2006"	"Iowa"	"19"	2553
	"Respiratory System"	"22010-22060"	"2007"	"2007"	"Iowa"	"19"	2585
	"Respiratory System"	"22010-22060"	"2008"	"2008"	"Iowa"	"19"	2630
	"Respiratory System"	"22010-22060"	"2009"	"2009"	"Iowa"	"19"	2648
	"Respiratory System"	"22010-22060"	"2010"	"2010"	"Iowa"	"19"	2598
	"Respiratory System"	"22010-22060"	"2011"	"2011"	"Iowa"	"19"	2534
	"Respiratory System"	"22010-22060"	"2012"	"2012"	"Iowa"	"19"	2577
	"Respiratory System"	"22010-22060"	"2013"	"2013"	"Iowa"	"19"	2603
	"Respiratory System"	"22010-22060"	"2014"	"2014"	"Iowa"	"19"	2693
	"Respiratory System"	"22010-22060"	"2015"	"2015"	"Iowa"	"19"	2732
	"Respiratory System"	"22010-22060"	"2016"	"2016"	"Iowa"	"19"	2596
	"Respiratory System"	"22010-22060"	"2017"	"2017"	"Iowa"	"19"	2789
	"Respiratory System"	"22010-22060"	"2018"	"2018"	"Iowa"	"19"	2729
	"Respiratory System"	"22010-22060"	"2019"	"2019"	"Iowa"	"19"	2807
	"Respiratory System"	"22010-22060"	"2020"	"2020"	"Iowa"	"19"	2592
	"Respiratory System"	"22010-22060"	"2021"	"2021"	"Iowa"	"19"	2758
	"Respiratory System"	"22010-22060"	"2022"	"2022"	"Iowa"	"19"	2730
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2000"	"2000"	"Iowa"	"19"	25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2001"	"2001"	"Iowa"	"19"	23
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2003"	"2003"	"Iowa"	"19"	30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2004"	"2004"	"Iowa"	"19"	23
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2005"	"2005"	"Iowa"	"19"	19
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2006"	"2006"	"Iowa"	"19"	21
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2007"	"2007"	"Iowa"	"19"	24
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2008"	"2008"	"Iowa"	"19"	32
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2009"	"2009"	"Iowa"	"19"	25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2010"	"2010"	"Iowa"	"19"	30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2011"	"2011"	"Iowa"	"19"	21
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2012"	"2012"	"Iowa"	"19"	25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2013"	"2013"	"Iowa"	"19"	20
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2014"	"2014"	"Iowa"	"19"	18
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2015"	"2015"	"Iowa"	"19"	24
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2016"	"2016"	"Iowa"	"19"	23
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2017"	"2017"	"Iowa"	"19"	21
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2018"	"2018"	"Iowa"	"19"	23
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2019"	"2019"	"Iowa"	"19"	20
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2020"	"2020"	"Iowa"	"19"	30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2021"	"2021"	"Iowa"	"19"	29
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"2022"	"2022"	"Iowa"	"19"	28
	"Larynx"	"22020"	"1999"	"1999"	"Iowa"	"19"	149
	"Larynx"	"22020"	"2000"	"2000"	"Iowa"	"19"	136
	"Larynx"	"22020"	"2001"	"2001"	"Iowa"	"19"	120
	"Larynx"	"22020"	"2002"	"2002"	"Iowa"	"19"	142
	"Larynx"	"22020"	"2003"	"2003"	"Iowa"	"19"	140
	"Larynx"	"22020"	"2004"	"2004"	"Iowa"	"19"	135
	"Larynx"	"22020"	"2005"	"2005"	"Iowa"	"19"	145
	"Larynx"	"22020"	"2006"	"2006"	"Iowa"	"19"	140
	"Larynx"	"22020"	"2007"	"2007"	"Iowa"	"19"	139
	"Larynx"	"22020"	"2008"	"2008"	"Iowa"	"19"	152
	"Larynx"	"22020"	"2009"	"2009"	"Iowa"	"19"	141
	"Larynx"	"22020"	"2010"	"2010"	"Iowa"	"19"	155
	"Larynx"	"22020"	"2011"	"2011"	"Iowa"	"19"	135
	"Larynx"	"22020"	"2012"	"2012"	"Iowa"	"19"	172
	"Larynx"	"22020"	"2013"	"2013"	"Iowa"	"19"	146
	"Larynx"	"22020"	"2014"	"2014"	"Iowa"	"19"	153
	"Larynx"	"22020"	"2015"	"2015"	"Iowa"	"19"	135
	"Larynx"	"22020"	"2016"	"2016"	"Iowa"	"19"	134
	"Larynx"	"22020"	"2017"	"2017"	"Iowa"	"19"	145
	"Larynx"	"22020"	"2018"	"2018"	"Iowa"	"19"	146
	"Larynx"	"22020"	"2019"	"2019"	"Iowa"	"19"	134
	"Larynx"	"22020"	"2020"	"2020"	"Iowa"	"19"	123
	"Larynx"	"22020"	"2021"	"2021"	"Iowa"	"19"	129
	"Larynx"	"22020"	"2022"	"2022"	"Iowa"	"19"	142
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Iowa"	"19"	2202
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Iowa"	"19"	2237
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Iowa"	"19"	2190
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Iowa"	"19"	2231
	"Lung and Bronchus"	"22030"	"2003"	"2003"	"Iowa"	"19"	2346
	"Lung and Bronchus"	"22030"	"2004"	"2004"	"Iowa"	"19"	2284
	"Lung and Bronchus"	"22030"	"2005"	"2005"	"Iowa"	"19"	2424
	"Lung and Bronchus"	"22030"	"2006"	"2006"	"Iowa"	"19"	2389
	"Lung and Bronchus"	"22030"	"2007"	"2007"	"Iowa"	"19"	2415
	"Lung and Bronchus"	"22030"	"2008"	"2008"	"Iowa"	"19"	2441
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Iowa"	"19"	2474
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Iowa"	"19"	2403
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Iowa"	"19"	2371
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Iowa"	"19"	2372
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Iowa"	"19"	2431
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Iowa"	"19"	2517
	"Lung and Bronchus"	"22030"	"2015"	"2015"	"Iowa"	"19"	2563
	"Lung and Bronchus"	"22030"	"2016"	"2016"	"Iowa"	"19"	2434
	"Lung and Bronchus"	"22030"	"2017"	"2017"	"Iowa"	"19"	2614
	"Lung and Bronchus"	"22030"	"2018"	"2018"	"Iowa"	"19"	2551
	"Lung and Bronchus"	"22030"	"2019"	"2019"	"Iowa"	"19"	2646
	"Lung and Bronchus"	"22030"	"2020"	"2020"	"Iowa"	"19"	2432
	"Lung and Bronchus"	"22030"	"2021"	"2021"	"Iowa"	"19"	2593
	"Lung and Bronchus"	"22030"	"2022"	"2022"	"Iowa"	"19"	2551
	"Bones and Joints"	"23000"	"1999"	"1999"	"Iowa"	"19"	18
	"Bones and Joints"	"23000"	"2000"	"2000"	"Iowa"	"19"	30
	"Bones and Joints"	"23000"	"2001"	"2001"	"Iowa"	"19"	33
	"Bones and Joints"	"23000"	"2002"	"2002"	"Iowa"	"19"	27
	"Bones and Joints"	"23000"	"2003"	"2003"	"Iowa"	"19"	22
	"Bones and Joints"	"23000"	"2004"	"2004"	"Iowa"	"19"	27
	"Bones and Joints"	"23000"	"2005"	"2005"	"Iowa"	"19"	28
	"Bones and Joints"	"23000"	"2006"	"2006"	"Iowa"	"19"	34
	"Bones and Joints"	"23000"	"2007"	"2007"	"Iowa"	"19"	38
	"Bones and Joints"	"23000"	"2008"	"2008"	"Iowa"	"19"	40
	"Bones and Joints"	"23000"	"2009"	"2009"	"Iowa"	"19"	37
	"Bones and Joints"	"23000"	"2010"	"2010"	"Iowa"	"19"	35
	"Bones and Joints"	"23000"	"2011"	"2011"	"Iowa"	"19"	39
	"Bones and Joints"	"23000"	"2012"	"2012"	"Iowa"	"19"	29
	"Bones and Joints"	"23000"	"2013"	"2013"	"Iowa"	"19"	32
	"Bones and Joints"	"23000"	"2014"	"2014"	"Iowa"	"19"	28
	"Bones and Joints"	"23000"	"2015"	"2015"	"Iowa"	"19"	18
	"Bones and Joints"	"23000"	"2016"	"2016"	"Iowa"	"19"	33
	"Bones and Joints"	"23000"	"2017"	"2017"	"Iowa"	"19"	36
	"Bones and Joints"	"23000"	"2018"	"2018"	"Iowa"	"19"	26
	"Bones and Joints"	"23000"	"2019"	"2019"	"Iowa"	"19"	40
	"Bones and Joints"	"23000"	"2020"	"2020"	"Iowa"	"19"	39
	"Bones and Joints"	"23000"	"2021"	"2021"	"Iowa"	"19"	41
	"Bones and Joints"	"23000"	"2022"	"2022"	"Iowa"	"19"	36
	"Soft Tissue including Heart"	"24000"	"1999"	"1999"	"Iowa"	"19"	103
	"Soft Tissue including Heart"	"24000"	"2000"	"2000"	"Iowa"	"19"	84
	"Soft Tissue including Heart"	"24000"	"2001"	"2001"	"Iowa"	"19"	77
	"Soft Tissue including Heart"	"24000"	"2002"	"2002"	"Iowa"	"19"	81
	"Soft Tissue including Heart"	"24000"	"2003"	"2003"	"Iowa"	"19"	99
	"Soft Tissue including Heart"	"24000"	"2004"	"2004"	"Iowa"	"19"	79
	"Soft Tissue including Heart"	"24000"	"2005"	"2005"	"Iowa"	"19"	107
	"Soft Tissue including Heart"	"24000"	"2006"	"2006"	"Iowa"	"19"	103
	"Soft Tissue including Heart"	"24000"	"2007"	"2007"	"Iowa"	"19"	97
	"Soft Tissue including Heart"	"24000"	"2008"	"2008"	"Iowa"	"19"	120
	"Soft Tissue including Heart"	"24000"	"2009"	"2009"	"Iowa"	"19"	105
	"Soft Tissue including Heart"	"24000"	"2010"	"2010"	"Iowa"	"19"	98
	"Soft Tissue including Heart"	"24000"	"2011"	"2011"	"Iowa"	"19"	120
	"Soft Tissue including Heart"	"24000"	"2012"	"2012"	"Iowa"	"19"	134
	"Soft Tissue including Heart"	"24000"	"2013"	"2013"	"Iowa"	"19"	117
	"Soft Tissue including Heart"	"24000"	"2014"	"2014"	"Iowa"	"19"	126
	"Soft Tissue including Heart"	"24000"	"2015"	"2015"	"Iowa"	"19"	139
	"Soft Tissue including Heart"	"24000"	"2016"	"2016"	"Iowa"	"19"	105
	"Soft Tissue including Heart"	"24000"	"2017"	"2017"	"Iowa"	"19"	111
	"Soft Tissue including Heart"	"24000"	"2018"	"2018"	"Iowa"	"19"	102
	"Soft Tissue including Heart"	"24000"	"2019"	"2019"	"Iowa"	"19"	104
	"Soft Tissue including Heart"	"24000"	"2020"	"2020"	"Iowa"	"19"	139
	"Soft Tissue including Heart"	"24000"	"2021"	"2021"	"Iowa"	"19"	128
	"Soft Tissue including Heart"	"24000"	"2022"	"2022"	"Iowa"	"19"	154
	"Skin excluding Basal and Squamous"	"25010-25020"	"1999"	"1999"	"Iowa"	"19"	597
