county,incidence_rate,avg_annual_count,trend
"Cass County",581.9,114,rising
"Chickasaw County",547.9,95,rising
"Tama County",544.4,127,rising
"Butler County",533.6,116,rising
"Franklin County",530,79,rising
"Greene County",519,70,rising
"Marion County",517.5,232,rising
"Adams County",513.7,29,rising
"Shelby County",458.3,83,rising
